,name,sallary,duty,location,time
25336,东莞尾音信息科技有限公司,6-8千/月,程序开发学徒  转正薪资5k起,东莞-松山湖区,12-27
25337,东莞尾音信息科技有限公司,6-8千/月,高薪网站开发助理/实习生,东莞-松山湖区,12-27
25338,广州冠宏化妆品有限公司,4-6千/月,阿里巴巴国际站运营（包吃住高提成）,广州-白云区,12-28
25339,广州冠宏化妆品有限公司,0.5-1万/月,阿里巴巴外贸运营专员/国际站运营（包吃住）,广州-白云区,12-28
25340,广州冠宏化妆品有限公司,5-8千/月,阿里巴巴国际站运营/跨境电商运营/运营助理,广州-白云区,12-28
25341,广州冠宏化妆品有限公司,0.5-1万/月,阿里巴巴国际站运营（包吃住 提成）,广州-白云区,12-28
25342,西安敦行信息技术有限公司,4.5-6千/月,Java软件开发人才储备（可无项目经验,西安,12-28
25343,西安敦行信息技术有限公司,4.5-6千/月,Java软件开发工程师(电子、自动化相关专业转行）,西安,12-28
25344,广州冠宏化妆品有限公司,3-4.5千/月,文员/人事文员/行政专员,广州-白云区,12-28
25345,广州冠宏化妆品有限公司,0.5-1万/月,阿里巴巴外贸业务员  外贸专员 国际贸易 （包食宿）,广州-白云区,12-28
25346,广州冠宏化妆品有限公司,4-6千/月,阿里巴巴外贸运营/后台运营/电商运营,广州-白云区,12-28
25347,西安天讯网络信息技术有限公司,4.5-6千/月,功能测试工程师（移动通信类软件）,西安-高新技术...,12-28
25348,西安天讯网络信息技术有限公司,4.5-6千/月,互联网数据研发部-软件开发助理,西安-高新技术...,12-28
25349,西安天讯网络信息技术有限公司,6-8千/月,软件/电信交换工程师+可招学徒+带薪培养（应届生）,西安-高新技术...,12-28
25350,西安天讯网络信息技术有限公司,4.5-6千/月,通信技术-软件研发工程师,西安-高新技术...,12-28
25351,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25352,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25353,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25354,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25355,东莞尾音信息科技有限公司,6-8千/月,直招网页开发学徒/ 带薪培养,东莞-松山湖区,12-27
25356,东莞尾音信息科技有限公司,3-4.5千/月,计算机IT学徒+底薪5000,东莞-松山湖区,12-27
25357,东莞尾音信息科技有限公司,6-8千/月,直招计算机软件助理学徒,东莞-松山湖区,12-27
25358,东莞尾音信息科技有限公司,6-8千/月,高薪软件开发实习生,东莞-松山湖区,12-27
25359,东莞尾音信息科技有限公司,6-8千/月,急聘软件开发带薪助理/实习生,东莞-松山湖区,12-27
25360,西安天讯网络信息技术有限公司,4.5-6千/月,计算机互联网储备工程师,西安-高新技术...,12-28
25361,西安天讯网络信息技术有限公司,4.5-6千/月,企业定岗培养Java人才,西安-高新技术...,12-28
25362,唯品会（中国）有限公司,4-8千/月,行政主管(公关外联-物流总部-肇庆),异地招聘,12-28
25363,东莞尾音信息科技有限公司,3-4.5千/月,网站开发实习学徒,东莞-松山湖区,12-27
25364,东莞尾音信息科技有限公司,2-3千/月,0基础计算机系统维护助理转程序开发学徒,东莞-松山湖区,12-27
25365,东莞尾音信息科技有限公司,2-3千/月,手机APP制作助理转开发学徒,东莞-松山湖区,12-27
25366,东莞尾音信息科技有限公司,2-3千/月,零基础诚招互联网页面开发实习生,东莞-松山湖区,12-27
25367,东莞尾音信息科技有限公司,2-3千/月,双休计算机编程学徒,东莞-松山湖区,12-27
25368,东莞尾音信息科技有限公司,3-4.5千/月,理工科IT技术实习生,东莞-松山湖区,12-27
25369,东莞尾音信息科技有限公司,2-3千/月,直招计算机学徒,东莞-松山湖区,12-27
25370,步步高集团,0.6-1万/月,可视化工程师,异地招聘,12-27
25371,广联达科技股份有限公司,2-3.5万/月,工程效率专家-研发与公共技术中心-研发服务部,北京-海淀区,12-27
25372,成都西山居互动娱乐科技有限公司珠...,1.5-2万/月,测试开发工程师,珠海,12-26
25373,广东绿洲国际旅行社有限公司,4.5-6千/月,.net开发工程师,广州-越秀区,12-26
25374,安徽皓创知识产权有限公司,5-8千/月,机械工程师助理（五险+周末双休+各项补助）,合肥-滨湖新区,12-26
25375,广东博昊实业集团有限公司,3-5千/月,会议营销专员 （科奥会议公司）,广州,12-26
25376,广州辰龙教育科技有限公司,15-20万/年,网站站长/网站主编/网站主管/网站运营总监,广州-天河区,12-26
25377,山东安云信息技术有限公司,1-1.5万/月,网络空间安全研究员（高薪）,济南,12-26
25378,山东安云信息技术有限公司,0.8-1万/月,资产指纹和POC编写（高薪）,济南,12-26
