location,time,sallary,name,duty
北京-朝阳区,03-12,7-10万/月,合肥企业经营者人才公司,知名高科技领军企业招HRD 人事总监
异地招聘,03-12,80-100万/年,广州日星药业有限公司,合伙人
深圳,03-12,5-7万/月,深圳市龙光控股有限公司,战略分析总监/经理
北京-海淀区,03-12,80-100万/年,重庆冠达游轮有限责任公司,项目投资总监
东莞,03-12,2400元/天,东莞新意思纺织服装有限公司,倒毛工/打毛工
常州,03-12,7-10万/月,常州锐进企业管理咨询有限公司,总经理 General Manager
深圳,03-12,80-150万/年,创兴银行有限公司 CHONG HING BAN...,公司业务部门总经理
上海-徐汇区,03-12,5-8万/月,上海牧懿企业管理咨询有限公司,财务总监
上海-徐汇区,03-12,5-7万/月,凯悦国际酒店管理（北京）有限责任...,"Director-Select Service Brands Development, China"
北京-朝阳区,03-12,5-7万/月,大公国际信用评级集团有限公司,市场总监
上海,03-12,20-26万/月,睿力（上海）汽车科技有限公司,Themral CFD Enigneer 整车热管理工程师
北京,03-12,5-7万/月,北京昆仑亿发科技股份有限公司,销售部总经理
上海-静安区,03-12,80-100万/年,发码行有限公司,副总裁
深圳-罗湖区,03-12,60-80万/年,佳兆业金沙湾国际乐园公司,安全及品质保障总经理（国际乐园）
北京-海淀区,03-12,7-10万/月,太平人寿保险有限公司北京分公司,大客户主管
上海-徐汇区,03-12,6-7万/月,阿迪达斯体育（中国）有限公司上海...,Director Shared Service Center Asia Pacific
重庆,03-12,5-8万/月,重庆俊峰置业有限公司,海外投资负责人（急聘）
上海-松江区,03-12,7-10万/月,上海九池精密模具有限公司,模具加工编程
深圳-龙岗区,03-12,5-8万/月,深圳市五洲龙汽车股份有限公司,集团营销总监
东莞-南城区,03-12,5-7万/月,团贷网,资深PMO
广州-天河区,03-12,80-100万/年,广东珠光集团有限公司,风控法务部总经理
大连-甘井子区,03-12,7-10万/月,大连雅典房地产经纪有限公司,高端房产销售
南昌,03-12,5-7万/月,弘阳地产合肥公司,弘阳地产合肥公司-南昌事业部总
长沙-天心区,03-12,80-160万/年,中兴汇商融资租赁有限公司,区域负责人/融资总监（高级）
异地招聘,03-12,80-100万/年,云南碧桂园房地产开发有限公司,区域副总裁
深圳,03-12,5000元/小时,平易电子技术（深圳）有限公司,TE技术员
武汉-汉阳区,03-12,80-100万/年,武汉清华阳光口腔门诊部,合伙人
异地招聘,03-12,60-80万/年,上海欢米光学科技有限公司,供应链总监（印度）J11072
广州,03-12,5-7万/月,广州汇智通信技术有限公司,人工智能专家
深圳,03-12,10万以上/月,深圳市金千禧金融控股有限公司,不动产投融资高管（合伙人）
深圳-罗湖区,03-12,10-20万/月,闪盟珠宝科技有限公司,市场企划经理
上海-长宁区,03-12,6.5-9万/月,上海洛顿信息科技有限公司,电池研发总监/电芯研发总监-新能源汽车
上海,03-12,5-7万/月,特纳唐逊工程项目咨询（上海）有限...,Project Director
武汉-江汉区,03-12,7-10万/月,平安银行武汉信用卡中心,平安银行信用卡销售6000-18000
异地招聘,03-12,7-10万/月,宏运集团沈阳房地产开发有限公司,葫芦岛港集团-总经理
异地招聘,03-12,10-15万/月,中国医药保健品有限公司,中药饮片厂负责人（吉林靖宇）
深圳-南山区,03-12,20-40万/月,康佳集团股份有限公司,投资总监
成都,03-12,60-80万/年,成都金林嘉华置业投资有限公司,总经理（文化公司）
深圳,03-12,25-30万/月,深圳市艾比森光电股份有限公司,会务总监  （工作地：北京、广州、深圳）
深圳,03-12,60-80万/年,凯捷咨询（中国）有限公司,Cloud Architect 云架构师
上海-浦东新区,03-12,60-80万/年,万方财富投资管理有限公司,财富中心总经理
福建省,03-12,60-100万/年,福建省麦迪尔企业管理咨询有限公司,建筑设计总监
湖州,03-12,80-120万/年,上海褐石投资发展有限公司,项目总
连云港,03-12,60-80万/年,太阳雨集团有限公司,光伏商用公司总经理
杭州,03-12,5-9.9万/月,上海朝阳永续基金销售有限公司,私人银行财富总监
武汉-江汉区,03-12,5-7万/月,中国科学院大学武汉存济口腔医院,口腔学科带头人/技术专家
深圳-福田区,03-12,60-80万/年,深圳平安银行股份有限公司深圳分行,贵宾理财经理（RM）
上海-普陀区,03-12,100万以上/年,中原地产（上海总部）,分行经理
深圳-宝安区,03-12,80-160万/年,龙光基业集团有限公司,投资发展中心总经理/副总经理
上海-松江区,03-12,5-7万/月,上海派米雷投资（集团）有限公司,开发建设副总裁
异地招聘,03-12,70-100万/年,广州爱杰人力资源服务有限公司,质量总监（化妆品行业）
广州,03-12,10万以上/月,广州中证弘鼎资产管理有限公司,股指吧/恒指吧/美原油合伙人
广州,03-12,60-80万/年,广州聚焦网络技术有限公司,分公司总经理（年薪60-80万/互联网行业）
深圳-福田区,03-12,10万以上/月,深圳市新鲜猫农业发展有限公司,项目合伙人
北京-朝阳区,03-12,100万以上/年,海银财富管理有限公司,北京分公司副总经理
上海-浦东新区,03-12,100万以上/年,国金证券股份有限公司,国金财富 - 私行部负责人(上海)
宁波-慈溪市,03-12,6-12万/月,宁波市亚太酒店物业管理有限公司,杭州湾新区物业项目经理/助理
常州,03-12,6-20万/月,四川西南航空职业学院,四川西南航空学院江苏招生负责人
深圳-宝安区,03-12,1000-1200万/年,深圳豪车之家资产管理有限公司,市场副总裁
佛山,03-12,80-150万/年,广东宝裕集团有限公司,总经理（集团旗下地产公司）
深圳-南山区,03-12,60-80万/年,正中医药集团有限公司,政府事务经理
武汉-江夏区,03-12,100万以上/年,清研电气（武汉）有限公司,公司合伙人
上海-浦东新区,03-12,80-100万/年,深圳中润汇通股权投资基金管理有限...,分公司总经理
上海,03-12,300元/小时,上海金程教育培训有限公司,法律硕士(法学) 专业综合课***师资
上海-浦东新区,03-12,60-80万/年,善林（上海）金融信息服务有限公司,内审总监（集团）
无锡-江阴市,03-12,80-100万/年,无锡市厚德载物医药咨询有限公司,城市合伙人
北京-海淀区,03-12,100万以上/年,华成恒飞（北京）科技发展有限公司,高管 准总监 （金融行业）
上海-浦东新区,03-12,250-300万/年,上海动景眼镜集团有限公司,CFO/融资关系总监
异地招聘,03-12,5-8万/月,东莞市云特信息科技有限公司,供应链副总
南京,03-12,5-8万/月,南京金斯瑞生物科技有限公司,GMP Manufacturing VP
异地招聘,03-12,100万以上/年,杭州龙席网络科技股份有限公司,上市互联网招募百万年薪合伙人
上海-浦东新区,03-12,60-80万/年,辉源生物科技(上海)有限公司,药物化学高级总监/副总裁
上海-长宁区,03-12,10-30万/月,碧桂园集团·广东博意建筑设计院有...,电气专业负责人
北京-西城区,03-12,5-8万/月,天津万家财富资产管理有限公司,副总经理
异地招聘,03-12,60-70万/年,广州梵盛管理咨询有限公司,商业运营副总经理
杭州-西湖区,03-12,15-25万/月,葛洲坝（杭州）房地产开发有限公司,策划管理岗
异地招聘,03-12,18-36万/月,宁波凯越国际贸易有限公司,Senior Merchandiser （Promotional Hardgoods）
南京,03-12,15-20万/月,南京沃创人力资源服务有限公司,大型连锁餐饮店经理
深圳-南山区,03-12,30-50万/月,深圳马力网络科技有限公司,首席财务官CFO
成都-金牛区,03-12,7-10万/月,成都晶禄源网络科技有限公司,网络销售客服 周末双休 高薪
上海-长宁区,03-12,7-10万/月,神马专车,集团财务总监
北京,03-12,70-90万/年,青岛百洋医药股份有限公司,慢病事业部全国市场总监
上海,03-12,80-100万/年,竹间智能科技（上海）有限公司,算法总监
常州,03-12,5-7万/月,阿贝（武进）电子有限公司,质量品质保证专员
南京,03-12,5-7万/月,乐金化学（南京）信息电子材料有限...,仓储物流管理
武汉-江汉区,03-12,5-7万/月,蓝光地产华中区域,建筑设计总监
西安,03-12,16-20万/月,西安市雁塔区学而思培训中心,政府关系经理
异地招聘,03-12,200-300万/年,河源巴登新城投资有限公司,总经理（集团旗下地产公司）
武汉,03-12,100万以上/年,中国平安人寿保险股份有限公司前进...,中国金融主管储备
上海,03-12,60-80万/年,上海品腾贸易有限公司,人力资源总监
重庆-江北区,03-12,7-10万/月,重庆九街尚进房地产开发有限公司,成本审计
深圳,03-12,5-7万/月,深圳市世华房地产投资顾问有限公司,轻松收入过5万，不封顶
北京-朝阳区,03-12,5-7万/月,多弗国际控股集团有限公司,集团副总裁（地产方向）
昆明,03-12,80-100万/年,千世界（成都）房地产经纪有限公司,项目/区域负责人
深圳-福田区,03-12,5-7万/月,华睿安盈投资（深圳）有限公司,私行线中心总经理
广州-天河区,03-12,100万以上/年,广州火了网络科技有限公司,创业合伙人
深圳,03-12,5-7万/月,乐华恒业投资控股有限公司,营销总经理
太原,03-12,5-7万/月,劲霸男装（上海）有限公司,自营督导
广州,03-12,60-80万/年,广州粤泰集团股份有限公司,工程公司总经理
武汉,03-12,100万以上/年,某型综合性房屋制造、销售企业,装配式建筑企业运营副总裁
杭州-拱墅区,03-12,5-7万/月,上海华领祺熙投资管理有限公司,分公司总经理
北京-朝阳区,03-12,100万以上/年,中数央广（北京）国际文化发展有限...,高薪诚聘渠道主任/总监
深圳-龙华新区,03-12,4500元/天,深圳市永亿豪电子有限公司,生产修理
武汉,03-12,60-80万/年,某武汉市国资委下属大型国有企业,投资部负责人
西安,03-12,10万以上/月,西安市莲湖区爱美妆婚纱摄影工作室,化妆美甲纹绣学徒
天津-南开区,03-12,5-7万/月,天津大学建筑设计规划研究总院上承...,设计部副主任/设计部副总
上海,03-12,60-80万/年,美国力特集团,Technical Marketing Director
广州-天河区,03-12,10-20万/月,瀚华金控股份有限公司,融资租赁经理
北京,03-12,5-7万/月,北京汉能光伏投资有限公司,海外首席交付官(013880)
成都,03-12,5-7万/月,成都华宇业瑞房地产开发有限公司,营销商管总经理
成都,03-12,5-8万/月,四川嘉宝资产管理集团股份有限公司,商业管理事业部总经理
异地招聘,03-12,80-100万/年,浙江海亮教育集团有限公司,副总裁
东莞,03-12,4000元/小时,东莞大银塑胶制品有限公司,车间统计
深圳-光明新区,03-12,5000元/天,福群电子（深圳）有限公司,技术员（光明新区）
广州-越秀区,03-12,5-7万/月,广州嘉懿企业管理顾问有限公司,工程师
武汉-武昌区,03-12,5000元/天,小钱（武汉）金融信息服务有限公司,行政人事主管
深圳-龙岗区,03-12,100万以上/年,索牌体育（深圳）股份有限公司,百万年薪寻营销副总（体育行业）
杭州,03-12,100万以上/年,海亮集团有限公司,管理天才
广州,03-12,7-10万/月,广东朗润集团有限公司,托福口语
杭州-西湖区,03-12,5-7万/月,宜信卓越财富投资管理（北京）有限...,智享经理(10014184)
武汉,03-12,5.5-6万/月,万象春天实业集团（武汉）有限公司,合伙人
佛山,03-12,10万以上/月,恒天财富佛山分公司,企业金融部总监
深圳,03-12,5-6万/月,毕马威中国 KPMG China,"Senior Tax Manager, Corporate Tax"
南京,03-12,6.5-8万/月,大千生态环境集团股份有限公司,互联网平台总经理/总监（园艺2C互联网平台）
上海-静安区,03-12,60-80万/年,雅芳（中国）有限公司,Associate Director  Brand Communication
深圳-福田区,03-12,80-100万/年,首控基金管理有限公司,执行总裁
深圳-南山区,03-12,100万以上/年,深圳市潘多拉魔盒信息科技有限公司,会销总监
芜湖,03-12,7-10万/月,芜湖慧众财务管理有限公司,月薪8K聘愿来挑战的你
杭州,03-12,80-100万/年,杭州佳程企业管理咨询有限公司,CEO
苏州,03-12,10万以上/月,苏州玄一企业管理咨询有限公司,投资发展总监/经理
常州,03-12,5-7万/月,上海诺银机电科技有限公司,銷售工程師
深圳-南山区,03-12,100万以上/年,深圳市腾坤贸易有限公司,人力资源总监
武汉-东西湖区,03-12,10万以上/月,武汉链家宏业房地产经纪有限公司,为人才寻找高薪岗位
深圳-南山区,03-12,5-7万/月,天九共享孵化南方投资集团,投资副总裁
昆明,03-12,5-7万/月,云南喜玛特商业有限公司,总裁/副总裁
广州-白云区,03-12,10万以上/月,肇庆美康卫浴有限公司,项目合作伙伴
深圳-福田区,03-12,100万以上/年,中旗国信控股集团（深圳）有限公司,财富中心总经理
长沙,03-12,7-10万/月,湖南农商通电子商务股份有限公司,运营副总裁
上海-闵行区,03-12,80-100万/年,宝龙地产总部,酒店集团经营管理中心总经理
南昌,03-12,60-80万/年,江西碧桂园地产有限公司,片区/城市公司营销负责人
北京-西城区,03-12,7-10万/月,上海中融置业集团有限公司,法规总监
北京-昌平区,03-12,5-7万/月,北京鼎金华夏投资咨询有限公司,高薪招聘优秀团队
上海-浦东新区,03-12,10万以上/月,上海雪山金融信息服务有限公司,总经理
深圳,03-12,10万以上/月,深圳市鼎浩建材有限公司,营销副总
上海-徐汇区,03-12,90-250万/年,上海梅高创意咨询有限公司,客户总监（副总裁）
南京-鼓楼区,03-12,60-80万/年,中邮人寿保险股份有限公司江苏分公司,分公司副总经理
上海-虹口区,03-12,5-7万/月,上海泛江国际物流有限公司,指定货操作
广州-天河区,03-12,60-80万/年,北京华玺财富投资管理有限公司广州...,财富管理中心总经理
深圳-福田区,03-12,100万以上/年,深圳前海集富通互联网金融服务股份...,优才计划
重庆-九龙坡区,03-12,10-50万/月,重庆普天药业有限公司,地区代理
武汉,03-12,80-100万/年,湖北中梁地产有限公司,投资发展中心总经理
广州-天河区,03-12,5-7万/月,广州海峡美容医疗有限公司,整形外科主任
北京,03-12,60-80万/年,国广东方网络（北京）有限公司,海外投融资总监
珠海,03-12,60-100万/年,珠海市卡索发展有限公司,服装设计总监
上海-长宁区,03-12,6-20万/月,与果资产投资管理（上海）有限公司,汽车金融部-专员
