,duty,sallary,name,time,location
7794,并行计算研发工程师,0.7-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,大连-高新园区
7795,并行计算研发工程师,0.7-1.4万/月,英特工程仿真技术（大连）有限公司,2月8日,北京-海淀区
7796,CAE研发工程师(结构/固体力学),0.6-1.2万/月,英特工程仿真技术（大连）有限公司,2月8日,北京-海淀区
7797,CAE研发工程师(结构/固体力学),0.6-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,大连-高新园区
7798,高级算法模型分析师,2-3万/月,北京蛙鸣华清环保科技有限公司,2月8日,北京-朝阳区
7799,安全算法研究员,1.5-2.5万/月,北京芯盾时代科技有限公司,2月8日,北京
7800,自然语言实习生,3-8千/月,武汉泰迪智慧科技有限公司,2月8日,武汉-洪山区
7801,深度学习工程师（工作地点：武汉）,1.5-3万/月,武汉泰迪智慧科技有限公司,2月8日,武汉-洪山区
7802,自然语言处理工程师（工作地点：武汉）,1.5-3万/月,武汉泰迪智慧科技有限公司,2月8日,武汉-洪山区
7803,人脸识别算法资深工程师,1.5-2万/月,广州麦仑信息科技有限公司,2月8日,广州-天河区
7804,人工智能工程师,1.5-2万/月,昆山昆声软件科技有限公司,2月8日,昆山
7805,人工智能工程师,1.5-2万/月,昆山昆声软件科技有限公司,2月8日,异地招聘
7806,音频嵌入式工程师,1-1.5万/月,昆山昆声软件科技有限公司,2月8日,异地招聘
7807,音频嵌入式工程师,1-1.5万/月,昆山昆声软件科技有限公司,2月8日,昆山
7808,c++图像处理工程师,1-2万/月,艾瑞迈迪医疗科技（北京）有限公司,2月8日,北京-海淀区
7809,软件工程师,1-1.5万/月,艾瑞迈迪医疗科技（北京）有限公司,2月8日,北京-海淀区
7810,AI算法专家,30-45万/年,杭州中天微系统有限公司,2月8日,杭州
7811,地理信息系统（GIS）研发工程师,0.8-1.5万/月,龙浩机场集团有限公司,2月8日,北京-丰台区
7812,AI高性能计算工程师,3-4万/月,上海高重信息科技有限公司,2月8日,异地招聘
7813,软件工程师-算法实现,1-1.5万/月,惠州市德赛西威汽车电子股份有限公司,2月8日,南京-江宁区
7814,DSP软件工程师,0.7-1.5万/月,惠州市德赛西威汽车电子股份有限公司,2月8日,南京-江宁区
7815,软件工程师-信号处理,0.7-1.5万/月,惠州市德赛西威汽车电子股份有限公司,2月8日,南京-江宁区
7816,数据分析师,0.8-1.6万/月,美林数据技术股份有限公司,2月8日,西安
7817,数据分析师,0.8-1.6万/月,美林数据技术股份有限公司,2月8日,北京
7818,CAE研发工程师(结构/固体力学),0.6-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,沈阳-浑南区
7819,CAE研发工程师（低频电磁场）,0.8-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,大连-高新园区
7820,CAE研发工程师（高频电磁场）,0.8-1.5万/月,英特工程仿真技术（大连）有限公司,2月8日,大连-高新园区
7821,Video Processing Algorithm Engineer,2-3.5万/月,晶晨半导体（上海）有限公司,2月8日,上海-浦东新区
7822,Computer Vision Researcher/Engineer,2-3.5万/月,晶晨半导体（上海）有限公司,2月8日,上海-浦东新区
7823,Image Signal Processor Algorithm Researcher,2-3.5万/月,晶晨半导体（上海）有限公司,2月8日,上海-浦东新区
7824,Algorithm Researcher,1.5-2万/月,晶晨半导体（上海）有限公司,2月8日,上海-浦东新区
7825,视觉软件工程师,0.8-1万/月,广州市顶丰自动化设备有限公司,2月8日,异地招聘
7826,软件实施工程师（五险一金双休）,4.5-6千/月,沈阳天桓科技有限公司,2月8日,沈阳-沈河区
7827,数据挖掘工程师,1.5-2万/月,南京烽火星空通信发展有限公司,2月8日,西安-高新技术...
7828,图像算法资深工程师,1.5-2.5万/月,南京烽火星空通信发展有限公司,2月8日,南京-建邺区
7829,GIS开发工程师,0.6-1.7万/月,武汉珞珈德毅科技股份有限公司,2月8日,武汉-洪山区
7830,机器人控制工程师,0.8-1.2万/月,深圳市大族机器人有限公司,2月8日,深圳-南山区
7831,数据分析建模经理/数据建模经理/建模师/数据建模专家,3-5万/月,360金融,2月8日,上海-浦东新区
7832,数据工程师,0.6-1.2万/月,360金融,2月8日,上海-浦东新区
7833,机器学习工程师,2-4万/月,深圳和而泰智能控制股份有限公司,2月8日,深圳
7834,自然语言处理工程师,2-4万/月,深圳和而泰智能控制股份有限公司,2月8日,深圳
7835,计算机视觉工程师,2-4万/月,深圳和而泰智能控制股份有限公司,2月8日,深圳
