,name,sallary,duty,time,location
8165,南京硅基智能科技有限公司,1.5-3万/月,Python开发工程师,2月5日,南京
8166,上海拉夏贝尔服饰股份有限公司,2-2.5万/月,数据分析高级经理,2月5日,上海-徐汇区
8167,上海拉夏贝尔服饰股份有限公司,1.5-2万/月,数据分析经理,2月5日,上海-徐汇区
8168,慧影医疗科技（北京）有限公司,1.5-3万/月,人工智能研发工程师,2月5日,北京-海淀区
8169,交银企业管理服务（上海）有限公司...,20-40万/年,数据分析/挖掘经理（电话渠道）,2月5日,上海-长宁区
8170,达而观信息科技（上海）有限公司,3-5万/月,搜索开发技术专家/团队leader,2月6日,异地招聘
8171,达而观信息科技（上海）有限公司,3-5万/月,推荐算法技术专家/团队leader,2月6日,异地招聘
8172,达而观信息科技（上海）有限公司,3-5万/月,推荐算法技术专家/团队leader,2月6日,异地招聘
8173,达而观信息科技（上海）有限公司,3-5万/月,推荐算法技术专家/团队leader,2月6日,上海-浦东新区
8174,深圳市茁壮网络股份有限公司,25-40万/年,博士研究员（云计算、音视频、大数据方向）,2月5日,深圳
8175,趋势科技（中国）有限公司,1.5-2.5万/月,资深开发工程师Windows/c++,2月5日,南京-雨花台区
8176,北京四维图新科技股份有限公司,1-1.5万/月,算法工程师-HXY,2月5日,北京-海淀区
8177,北京四维图新科技股份有限公司,0.8-1.4万/月,硬件研发工程师移动采集车开发-HXY,2月5日,武汉-洪山区
8178,成都通甲优博科技有限责任公司,4.5-6千/月,计算机视觉实习生,2月5日,成都
8179,深圳迈瑞生物医疗电子股份有限公司,,JobReqID:4206 系统研究工程师（图像处理）,2月5日,深圳
8180,思建科技有限公司,2.5-5万/月,大数据专家,2月5日,重庆-渝北区
8181,交银企业管理服务（上海）有限公司...,20-40万/年,数据分析/挖掘经理,2月5日,上海-长宁区
8182,中国太平洋保险（集团）股份有限公司,15-30万/年,算法工程师（自然语言）（成都）,2月5日,成都-高新区
8183,中国太平洋保险（集团）股份有限公司,15-30万/年,算法工程师（语音识别）（成都）,2月5日,成都-高新区
8184,上汽通用汽车有限公司,,视觉识别算法工程师-上海,2月5日,上海-浦东新区
8185,上汽通用汽车有限公司,1.5-2万/月,数据建模分析工程师-上海,2月5日,上海-浦东新区
8186,南京天数信息科技有限公司,2.7-4万/月,销售总监（平台产品）,2月5日,南京-雨花台区
8187,达而观信息科技（上海）有限公司,3-5万/月,推荐算法技术专家/团队leader,2月6日,异地招聘
8188,达而观信息科技（上海）有限公司,3-5万/月,NLP技术专家/团队leader,2月6日,异地招聘
8189,达而观信息科技（上海）有限公司,3-5万/月,NLP技术专家/团队leader,2月6日,异地招聘
8190,达而观信息科技（上海）有限公司,3-5万/月,NLP技术专家/团队leader,2月6日,上海-浦东新区
8191,达而观信息科技（上海）有限公司,3-5万/月,NLP技术专家/团队leader,2月6日,异地招聘
8192,达而观信息科技（上海）有限公司,1.8-3万/月,搜索开发工程师,2月6日,异地招聘
8193,北京四维图新科技股份有限公司,1-1.5万/月,算法工程师-HXY-西安,2月5日,西安-雁塔区
8194,北京四维图新科技股份有限公司,1-1.6万/月,大数据挖掘-HXY,2月5日,北京-海淀区
8195,北京四维图新科技股份有限公司,1-1.8万/月,图像识别工程师（HXY-00002）,2月5日,北京-海淀区
8196,北京四维图新科技股份有限公司,1-1.5万/月,图像识别工程师（00002-HYF）,2月5日,异地招聘
8197,信雅达系统工程股份有限公司,50-60万/年,数据与人工智能专家,2月5日,杭州
8198,信雅达系统工程股份有限公司,1.8-3万/月,数据挖掘专家,2月5日,杭州
8199,天睿信科技术（北京）有限公司,30-40万/年,高级分析建模师,2月5日,上海-徐汇区
8200,天睿信科技术（北京）有限公司,1-1.5万/月,Data Engineer Hadoop,2月5日,北京-朝阳区
8201,天睿信科技术（北京）有限公司,20-30万/年,分析建模师,2月5日,上海-徐汇区
8202,工业互联网创新中心（上海）有限公司,0.8-1.5万/月,软件工程师（后端开发工程师）,2月5日,上海
8203,南京天数信息科技有限公司,1-2万/月,网络开发工程师,2月5日,南京-雨花台区
8204,湖南中科新域科技有限公司,1-1.5万/月,大数据挖掘专家,2月5日,长沙
8205,德勤华永会计师事务所（特殊普通合...,,Manager - Analysis & Information Management - Technology - Consulting - Shanghai,2月5日,上海
