,time,location,duty,sallary,name
120,02-09,上海-虹口区,临床试验稽查员（QC）,5-8千/月,上海瀛科隆医药开发有限公司
121,02-09,异地招聘,申江路 培训专员（无经验要求）,4-6千/月,上海你我贷互联网金融信息服务有限...
122,02-09,北京-海淀区,门店店员,1-1.5万/月,北京义立宇和文化传媒有限公司
123,02-09,武汉,网络管理部经理/片区网管经理,6-8千/月,上海韵达货运有限公司
124,02-09,广州,设施经理,24-27万/年,才聚企业管理服务（上海）有限公司
125,02-09,重庆-南岸区,新东方管培（客服  就近安排）,2.5-3.5千/月,重庆悠乐家科技有限公司
126,02-09,兰州,实习员岗位,2.5-4千/月,兰州友创电讯工程有限公司
127,02-09,怀化,销售代表-辰溪/沅陵,,百威英博（中国）销售有限公司
128,02-09,扬州,叉车工兼仓管,3-4.5千/月,德奇电子扬州有限公司
129,02-09,昆明-西山区,投资经理,12-20万/年,华侨城（云南）投资有限公司
130,02-09,北京,新楼盘销售代表（包住宿  大体量项目  ）,1.5-2万/月,北京阜康基业房地产经纪有限公司
131,02-09,武汉-黄陂区,零售业务销售经理,3-4.5千/月,武汉楚冀行机械有限公司
132,02-09,异地招聘,人事行政经理（上班地点：南京）,4.5-6千/月,西安雄途新能源汽车科技有限公司
133,02-09,深圳-龙岗区,亚马逊产品开发   外贸产品开发    电商产品开发,0.8-1万/月,深圳市众择科技有限公司
134,02-09,天津-南开区,总经理助理,4.5-6千/月,天津学思教育信息咨询有限公司
135,02-09,广州-海珠区,链家房产销售经纪 无需经验,0.9-2.2万/月,满堂红（中国）置业有限公司广州前...
136,02-09,天津-西青区,研发工程师,0.5-1万/月,睿为科技（天津）有限公司
137,02-09,广州-白云区,《普天同庆》普工-临时工-高薪招聘 包吃住,4.5-6千/月,广州市康坤企业管理服务有限公司
138,02-09,保定,洗车工,4.5-6千/月,河北硕达消防科技有限公司
139,02-09,西安-曲江文化...,商务助理,6-8千/月,成都量子互娱置业有限公司
140,02-09,渭南,成本会计,2-3千/月,陕西省蒲城美尔果农化有限责任公司
141,02-09,南宁,职场管理岗,4.5-6千/月,中国平安财产保险股份有限公司广西...
142,02-09,汕头,社区店店长,6-8千/月,广州易初莲花连锁超市有限公司
143,02-09,长沙-岳麓区,HRBP,3-4.5千/月,湖南竞网科技有限公司
144,02-09,保定,出纳主管,3-5千/月,保定市绿溪谷花卉科普乐园有限公司
145,02-09,上海-浦东新区,机械工程师/工业自动化,6-8千/月,上海竹创电子科技有限公司
146,02-09,昆山,Cashier 出纳,4.5-6千/月,希瑞造纸织物（中国）有限公司
147,02-09,上海-长宁区,文案策划主管,0.6-1.3万/月,上海凡高展览策划有限公司
