,location,time,sallary,name,duty
8524,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,中国平安首次聘请互联网金融销售经理
8525,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,中国平安广东总部首次聘请：综合金融干部
8526,广州-天河区,3月11日,7-10万/月,中国平安人寿保险股份有限公司广州...,广东总部首批特招人才：B2BO2OF2C互联网负责人
8527,广州,3月11日,70-70万/年,广州荣锋电子科技有限公司,上市公司财务总监（CFO）
8528,广州,3月11日,80-80万/年,广州荣锋电子科技有限公司,首席信息官CIO/首席技术官CTO
8529,南充,3月12日,5-7万/月,南充同城快递服务有限公司,快递营运部副总
8530,南充,3月12日,7-10万/月,南充同城快递服务有限公司,网络平台部副总
8531,广州,3月11日,80-100万/年,广州荣锋电子科技有限公司,COO/CEO
8532,广州,3月11日,60-80万/年,广州荣锋电子科技有限公司,首席技术官
8533,广州-天河区,3月11日,7-10万/月,中国平安人寿保险股份有限公司广州...,中国平安经理岗（综合金融）
8534,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,高薪聘平安合伙人5400工资起，综合金融大平台
8535,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,高薪诚聘平安合伙人5400工资起，综合金融大平台
8536,广州-天河区,3月11日,7-10万/月,中国平安人寿保险股份有限公司广州...,高薪聘请平安合伙人5400起步，世界前40强公司大平台
8537,南充,3月12日,5-7万/月,南充同城快递服务有限公司,电商平台部合作伙伴
8538,南充,3月12日,5-7万/月,南充同城快递服务有限公司,同城快递城区、县城片区代理
8539,上海-闵行区,3月11日,80-100万/年,上海绩唯商务信息咨询有限公司,股票期权销售（起薪5K，年薪百万）
8540,北京-朝阳区,3月11日,10万以上/月,北京飞客互联科技发展有限公司,销售管理部副总经理/总监
8541,北京-朝阳区,3月11日,7-10万/月,北京飞客互联科技发展有限公司,全球供应链副总裁（计划方向）
8542,中山,3月11日,10万以上/月,深圳市乐有家控股集团有限公司,10万月薪+车补+房补+旅游（真实）
8543,北京-房山区,3月11日,80-100万/年,富尔华兴（北京）国际投资管理有限...,CBD年薪百万\外汇\股票\期货\现货\分析盘手
8544,北京-朝阳区,3月11日,80-100万/年,富尔华兴（北京）国际投资管理有限...,CBD年薪百万\外汇\股票\期货\现货\分析盘手
8545,异地招聘,3月11日,10万以上/月,重庆迦兰房地产咨询有限公司,副总裁
8546,北京-朝阳区,3月11日,10万以上/月,北京汉能光伏投资有限公司,大客户CEO(013545)
8547,广州-天河区,3月11日,10万以上/月,中国平安人寿保险股份有限公司广州...,高薪诚聘平安合伙人5400工资起步，综合金融大平台
8548,上海,3月11日,60-80万/年,上海猎英人才服务有限公司,Process Development Chemist
8549,杭州,3月11日,100万以上/年,杭州豪世华邦,01销售8k+高提成+内部提升+旅游出差+食宿
8550,广州-番禺区,3月11日,60-80万/年,广东海之鑫投资有限公司,总经理（金融）
