,sallary,location,duty,name,time
14178,10万以上/月,德州,珠宝销售顾问,周生生（中国）商业有限公司青岛分...,2月7日
14179,60-80万/年,深圳-宝安区,区域代理高年薪,深圳市中际协文化传播有限公司,2月7日
14180,10-15万/月,广州-越秀区,资深媒介策划经理,广东英扬传奇广告有限公司,2月7日
14181,60-80万/年,杭州,设计总监,深圳卓越置业集团杭州公司,2月7日
14182,60-80万/年,杭州,项目总经理,深圳卓越置业集团杭州公司,2月7日
14183,20-30万/月,北京-海淀区,市场总监,北大医疗信息技术有限公司,2月7日
14184,60-80万/年,北京-海淀区,技术工程部-PAAS架构师-北京-02822,北京搜狗科技发展有限公司,2月7日
14185,100万以上/年,深圳-南山区,海外销售总监,深圳市智璟科技有限公司,2月7日
14186,100万以上/年,深圳-南山区,销售总监,深圳市智璟科技有限公司,2月7日
14187,80-200万/年,惠州,工程项目总经理,恒大地产集团珠三角房地产开发有限...,2月7日
14188,6-9万/月,深圳-罗湖区,场地运营总监（国际乐园）,佳兆业集团控股有限公司,2月7日
14189,12-15万/月,上海,平面设计师主管/经理,安正时尚集团股份有限公司,2月7日
14190,12-15万/月,上海,高级平面设计师,安正时尚集团股份有限公司,2月7日
14191,8-20万/月,桂林,区域销售经理,上海太太乐食品有限公司南京分公司,2月7日
14192,60-80万/年,宁波,财务总监,宁波纳新人力资源服务有限公司,2月7日
14193,100万以上/年,深圳-南山区,行业销售总监,深圳市智璟科技有限公司,2月7日
14194,100万以上/年,上海-浦东新区,市场定位副总监,金辉地产上海公司,2月7日
14195,10万以上/月,平凉,区域销售经理,贵州正鑫实业有限公司,2月7日
14196,10万以上/月,张掖,区域销售经理,贵州正鑫实业有限公司,2月7日
14197,10万以上/月,白银,区域销售经理,贵州正鑫实业有限公司,2月7日
14198,10万以上/月,武威,区域销售经理,贵州正鑫实业有限公司,2月7日
14199,10万以上/月,天水,区域销售经理,贵州正鑫实业有限公司,2月7日
14200,5-7万/月,南昌,项目总经理-南昌区域,碧桂园控股,2月7日
14201,5-7万/月,南昌,运营总监（南昌）,碧桂园控股,2月7日
14202,5-7万/月,南昌,投资总监-南昌区域,碧桂园控股,2月7日
14203,100万以上/年,上海-浦东新区,资产管理中心债券投资经理,上海人寿保险股份有限公司,2月7日
14204,5-6.5万/月,异地招聘,材料实验室测试员,浙江长盛滑动轴承股份有限公司,2月7日
14205,5-8万/月,深圳,先进材料研发总监（电芯方向）,深圳乐华恒业科技股份有限公司,2月7日
14206,7-10万/月,深圳,新能源项目拓展总监,深圳乐华恒业科技股份有限公司,2月7日
14207,10万以上/月,酒泉,区域销售经理,贵州正鑫实业有限公司,2月7日
14208,10万以上/月,嘉峪关,区域销售经理,贵州正鑫实业有限公司,2月7日
14209,10万以上/月,金昌,区域销售经理,贵州正鑫实业有限公司,2月7日
14210,10万以上/月,莱芜,区域销售经理,贵州正鑫实业有限公司,2月7日
14211,10万以上/月,聊城,区域销售经理,贵州正鑫实业有限公司,2月7日
14212,10万以上/月,枣庄,区域销售经理,贵州正鑫实业有限公司,2月7日
14213,60-100万/年,无锡,城市公司总经理,富力地产江苏公司,2月7日
14214,7-10万/月,上海-徐汇区,设计总监,绿地商业集团,2月7日
14215,3000元/天,大连-西岗区,5s咨询顾问,圣迪管理咨询（大连）有限公司,2月7日
14216,10万以上/月,绍兴,区域销售经理,贵州正鑫实业有限公司,2月7日
14217,10万以上/月,湖州,区域销售经理,贵州正鑫实业有限公司,2月7日
14218,10万以上/月,滨州,区域销售经理,贵州正鑫实业有限公司,2月7日
14219,10万以上/月,菏泽,区域销售经理,贵州正鑫实业有限公司,2月7日
14220,10万以上/月,德州,区域销售经理,贵州正鑫实业有限公司,2月7日
14221,10万以上/月,日照,区域销售经理,贵州正鑫实业有限公司,2月7日
14222,10万以上/月,济宁,区域销售经理,贵州正鑫实业有限公司,2月7日
14223,10万以上/月,威海,区域销售经理,贵州正鑫实业有限公司,2月7日
14224,10万以上/月,义乌,区域销售经理,贵州正鑫实业有限公司,2月7日
14225,10万以上/月,衢州,区域销售经理,贵州正鑫实业有限公司,2月7日
14226,10万以上/月,台州,区域销售经理,贵州正鑫实业有限公司,2月7日
14227,10万以上/月,异地招聘,区域销售经理,贵州正鑫实业有限公司,2月7日
14228,10万以上/月,宁波,区域销售经理,贵州正鑫实业有限公司,2月7日
14229,10万以上/月,嘉兴,区域销售经理,贵州正鑫实业有限公司,2月7日
14230,10万以上/月,烟台,区域销售经理,贵州正鑫实业有限公司,2月7日
14231,10万以上/月,青岛,区域销售经理,贵州正鑫实业有限公司,2月7日
14232,10万以上/月,济南,区域销售经理,贵州正鑫实业有限公司,2月7日
14233,10万以上/月,淄博,区域销售经理,贵州正鑫实业有限公司,2月7日
14234,10万以上/月,泰安,区域销售经理,贵州正鑫实业有限公司,2月7日
14235,10万以上/月,舟山,区域销售经理,贵州正鑫实业有限公司,2月7日
14236,10万以上/月,海宁,区域销售经理,贵州正鑫实业有限公司,2月7日
14237,10万以上/月,丽水,区域销售经理,贵州正鑫实业有限公司,2月7日
14238,10万以上/月,金华,区域销售经理,贵州正鑫实业有限公司,2月7日
14239,10万以上/月,杭州,区域销售经理,贵州正鑫实业有限公司,2月7日
14240,10万以上/月,靖江,区域销售经理,贵州正鑫实业有限公司,2月7日
14241,10万以上/月,贵阳,销售经理（医疗器械）,贵州正鑫实业有限公司,2月7日
14242,10万以上/月,泰州,区域销售经理,贵州正鑫实业有限公司,2月7日
14243,10万以上/月,徐州,区域销售经理,贵州正鑫实业有限公司,2月7日
14244,10万以上/月,昆山,区域销售经理,贵州正鑫实业有限公司,2月7日
14245,10万以上/月,常州,区域销售经理,贵州正鑫实业有限公司,2月7日
14246,10万以上/月,镇江,区域销售经理,贵州正鑫实业有限公司,2月7日
14247,10万以上/月,太仓,区域销售经理,贵州正鑫实业有限公司,2月7日
14248,10万以上/月,泰兴,区域销售经理,贵州正鑫实业有限公司,2月7日
14249,10万以上/月,丹阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14250,10万以上/月,张家港,区域销售经理,贵州正鑫实业有限公司,2月7日
14251,10万以上/月,南通,区域销售经理,贵州正鑫实业有限公司,2月7日
14252,10万以上/月,无锡,区域销售经理,贵州正鑫实业有限公司,2月7日
14253,10万以上/月,苏州,区域销售经理,贵州正鑫实业有限公司,2月7日
14254,10万以上/月,扬州,区域销售经理,贵州正鑫实业有限公司,2月7日
14255,10万以上/月,盐城,区域销售经理,贵州正鑫实业有限公司,2月7日
14256,10万以上/月,宿迁,区域销售经理,贵州正鑫实业有限公司,2月7日
14257,10万以上/月,淮安,区域销售经理,贵州正鑫实业有限公司,2月7日
14258,10万以上/月,连云港,区域销售经理,贵州正鑫实业有限公司,2月7日
14259,10万以上/月,常熟,区域销售经理,贵州正鑫实业有限公司,2月7日
14260,10万以上/月,南京,区域销售经理,贵州正鑫实业有限公司,2月7日
14261,10万以上/月,甘南,区域销售经理,贵州正鑫实业有限公司,2月7日
14262,10万以上/月,临夏,区域销售经理,贵州正鑫实业有限公司,2月7日
14263,10万以上/月,庆阳,区域销售经理,贵州正鑫实业有限公司,2月7日
14264,10万以上/月,陇南,区域销售经理,贵州正鑫实业有限公司,2月7日
14265,10万以上/月,定西,区域销售经理,贵州正鑫实业有限公司,2月7日
14266,80-100万/年,广州,信息总监,森大集团,2月7日
14267,10万以上/月,大连,招商经理,贵州正鑫实业有限公司,2月7日
14268,10万以上/月,锦州,招商经理,贵州正鑫实业有限公司,2月7日
14269,10万以上/月,异地招聘,招商经理,贵州正鑫实业有限公司,2月7日
14270,10万以上/月,阜新,招商经理,贵州正鑫实业有限公司,2月7日
14271,10万以上/月,朝阳,招商经理,贵州正鑫实业有限公司,2月7日
14272,10万以上/月,白山,招商经理,贵州正鑫实业有限公司,2月7日
14273,10万以上/月,本溪,招商经理,贵州正鑫实业有限公司,2月7日
14274,10万以上/月,抚顺,招商经理,贵州正鑫实业有限公司,2月7日
14275,10万以上/月,吉安,区域销售经理,贵州正鑫实业有限公司,2月7日
14276,10万以上/月,萍乡,区域销售经理,贵州正鑫实业有限公司,2月7日
14277,10万以上/月,上饶,区域销售经理,贵州正鑫实业有限公司,2月7日
14278,10万以上/月,景德镇,区域销售经理,贵州正鑫实业有限公司,2月7日
14279,10万以上/月,通化,招商经理,贵州正鑫实业有限公司,2月7日
14280,10万以上/月,延吉,招商经理,贵州正鑫实业有限公司,2月7日
14281,10万以上/月,辽源,招商经理,贵州正鑫实业有限公司,2月7日
14282,10万以上/月,延边,招商经理,贵州正鑫实业有限公司,2月7日
14283,10万以上/月,松原,招商经理,贵州正鑫实业有限公司,2月7日
14284,10万以上/月,赣州,区域销售经理,贵州正鑫实业有限公司,2月7日
14285,10万以上/月,鹰潭,区域销售经理,贵州正鑫实业有限公司,2月7日
14286,10万以上/月,九江,区域销售经理,贵州正鑫实业有限公司,2月7日
14287,10万以上/月,抚州,区域销售经理,贵州正鑫实业有限公司,2月7日
14288,10万以上/月,宜春,区域销售经理,贵州正鑫实业有限公司,2月7日
14289,10万以上/月,新余,区域销售经理,贵州正鑫实业有限公司,2月7日
14290,80-100万/年,深圳,产品总监,深圳市中合银金融控股有限公司,2月6日
